genome	B010101	B010201	B010301	B010401	B010501	B010601	B020401	B020501	B020601	B020602	B020603	B020701	B020801	B020901	B020902	B021001	B021101	B021102	B021103	B021104	B021105	B021106	B021201	B021202	B021301	B021401	B021402	B021501	B021601	B021701	B021801	B021802	B021901	B022001	B022002	B022101	B022102	B022103	B030201	B030202	B030301	B030701	B030901	B031001	B040101	B040103	B040104	B040105	B040106	B040201	B040202	B040203	B040204	B040205	B040206	B040207	B040208	B040301	B040302	B040304	B040305	B040306	B060101	B060102	B060103	B060104	B060105	B060106	B060201	B060202	B060203	B060204	B060205	B060206	B060207	B060208	B060209	B060210	B060211	B060212	B060213	B060301	B060302	B060303	B060304	B060401	B060402	B060501	B070101	B070102	B070103	B070104	B070201	B070301	B070401	B070402	B070501	B070502	B070601	B070602	B070603	B070604	B070701	B070702	B070801	B070802	B070803	B070901	B071001	B071101	B071102	B071103	B071201	B071202	B080101	B080201	B080301	B080302	B080303	B080404	B080501	B080502	B080503	B080504	B080505	B090101	B090102	B090103	B090104	B090201	B090202	B090301	B100402	B100601	B100801	B100802	B101101	B101102	B101202	B101401	B101402	B102101	B102201	B102401	B102402	B102601	B102801	B102802	B102901	B104101	B104102	B104201	B104202	D010101	D010102	D010201	D010301	D010401	D020101	D020201	D020301	D020401	D020501	D020601	D020701	D020801	D020901	D021001	D021101	D021201	D021301	D030101	D030201	D030302	D030401	D030402	D030501	D030502	D030601	D030602	D030603	D030604	D030605	D030701	D030702	D030801	D030802	D030803	D030901	D031001	D031002	D040101	D040201	D040301	D040401	D040501	D040601	D040701	D040801	D050101	D050201	D050301	D050302	D050401	D050501	D050502	D050601	D050602	D050701	D050801	D050802	D050803	D050804	D050805	D050806	D050901	D050902	D050903	D050904	D050905	D050906	D051001	D051101	D051102	D051103	D051104	D051105	D051201	D051301	D051302	D051601	D051602	D051701	D051801	D051802	D060101	D060102	D060103	D060105	D060201	D060202	D060301	D060302	D060401	D060402	D060601	D060602	D060603	D060701	D060801	D060901	D061001	D061002	D061101	D061201	D061301	D061303	D070101	D070201	D070202	D070401	D070402	D070403	D070404	D070501	D070601	D070801	D070901	D080101	D080103	D080201	D080402	D080501	D080502	D080601	D080701	D080702	D080801	D080901	D081001	D081101	D081201	D081301	D081401	D081501	D081601	D081701	D081801	D081901	D090101	D090201	D090301	D090401	D090501	D090601	D090701	D090801	D091001	D091101	D091201	S010101	S010102	S010103	S010301	S010401	S010501	S010502	S010503	S010504	S020101	S020102	S020201	S020202	S020203	S030101
ASV_1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0.11	0	0.67	0.14	0.33	0	0.14	0	0.14	0.14	0.14	0.25	0.33	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	1	0.86	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.81	0.85	0.57	0.67	0.12	0.86	0.83	0.5	0.46	0.25	0.38	0.29	0.5	0	0.33	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0.75	0.25	0	0	0	0	1	0.33	0	0	0	0	0	0	0	0	1	1	0	0	0	0.14	0.67	0.17	0.5	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0.5	0.2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0.33	0	0	0	0	0.5	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0.58	0.7	0.25	0	0.89	0	1	0	0	0	0	0	0	0
ASV_1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0.22	0.5	1	0.14	0.67	0	0.14	0	0.14	0.14	0.14	0.25	0.33	0.6	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.71	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.2	0.81	0.85	0.71	0.67	0.38	0.86	0.83	0.5	1	0.88	0.75	1	0.5	0	0.33	0	0.5	0.5	0.5	0.5	1	0.5	0	0.17	0	0.5	0	1	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.14	0.33	0.17	0.5	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0.5	0.2	0	0	0	0	1	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.67	1	0	0	0	0	0	0.33	0	0	0	0.5	0	1	0	0	0.67	1	0	0	0	0.16	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	1	0.17	0	0.89	0	0.4	0	0	0	0	0	0	0
ASV_1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0.8	0	0	0	0	0	0	0	0	0.33	0.5	1	0.57	0.67	0.2	0.14	0	0	0.14	0.14	0.5	0.67	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.86	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.07	0.23	0.57	0.75	0.12	0.43	0.83	0.21	0.23	0.25	0.38	0.14	0.17	0.25	0.67	0	0	0.25	1	0.5	0	0	0	0	0	0.25	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	1	1	0	0	0	0.14	0.67	0.17	0.5	0	0.14	0	0	0.17	0	0	0.5	0.33	0	0	0	0	0	1	1	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.67	1	0	0	0	0	0	0.33	0	0	0	0.5	0	0	0	1	0.67	1	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	1	0.5	0.25	0	0	0	0	0	0	0	0	0	0
ASV_1017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0.22	0.5	1	0.43	0.67	0	0.14	0	0.14	0.14	0.14	0.25	0.33	0.6	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.71	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.81	0.92	0.71	0.42	0.38	0.86	1	0.57	0.69	0.25	0.38	0.86	0.5	0	0.33	0	0.5	0.5	0.5	0.5	1	0.5	0	0	0	0.5	0	1	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.14	0.33	0.17	0.5	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0.5	0.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0.5	0	0	0	0	0	0.33	0	0	0	0	0	1	0	0	0.33	0	0	0	0	0.16	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	1	0.17	0	0.89	0	0	0	0	0	0	0	0	0
ASV_1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0.8	0	0	0	0	0	0	0	0	0.33	1	1	0.29	0.67	0.4	0.43	0	0.14	0.43	0.43	0.5	0.33	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.86	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0.4	0.81	0.62	0.29	0.08	0	0	0	0.29	0.23	0.12	0	0.14	0	0	0	0	0	0.25	0.5	0.5	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.67	0.33	0.5	0	0	0	0	0	0	0	1	0.33	0	0	0	0	0	1	0.5	0.6	0	0	0	0	0	0	0	0	0	0.17	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.33	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	1	0.5	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0.33	0.5	0.67	0.43	0.67	0.4	0.14	0	0	0.14	0.14	0.25	0.67	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.6	0.15	0.23	0	0.42	0.12	0	0.17	0.36	0.15	0.12	0	0.14	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.14	0.33	0.17	0.5	0	0.14	0.2	0	0.17	0	0	0	0	0	0	0	0	0	1	0.5	0.2	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0.9	0.17	0	0.89	0	0	0	0	0	0	0	0	0
ASV_1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0.33	0.5	1	0.43	0.67	0.2	0.14	0.17	0.14	0.14	0.14	0.25	0.33	0.6	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	1	0.71	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.81	0.92	0.71	0.67	0.5	0.86	1	0.57	0.85	0.88	0.5	0.86	0.5	0	0.33	0	0.5	0.5	0.5	0.5	1	0.5	0	0	0	0.5	0	1	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.14	0.33	0.17	0.5	0	0	0	0	0	0	0	0.5	1	0	0	0	0	0	0	0.5	0.2	0.5	0	0	0	1	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0.33	0.5	0	0	0	0	0	0.33	0	0	0	0.5	0	1	0	0	0.67	0.5	0	0	0	0.16	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	1	0.33	0	0.89	0	0	0	0	0	0	0	0	0
ASV_1021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0.44	0.5	0.67	0.29	0.67	0.2	0.14	0.17	0	0.14	0.14	0.5	0.67	0.6	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.86	0.78	1	0	0	0	0.67	0	0	0	0	0	0	0.25	0	0.17	0	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0.6	0.81	0.77	0.71	0.83	0.19	0.86	0.83	0.43	0.38	0.25	0.38	0.29	0.5	0.25	0.67	0	0	0.25	1	0.5	1	1	0	0.33	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.5	1	0.43	0.67	0.33	0.5	0	0.29	0.2	0	0.33	0	0	1	0.33	0.33	0	0	0	0	0	1	0.2	0	0	0	0	0	0.5	0	0.75	1	0.17	0	0.25	0	0	1	0	0.67	1	1	1	0.4	0.33	0.5	0.25	0.33	0.33	0	0	0	0.5	0	1	1	1	1	1	1	0	1	0.5	0.5	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0.9	0.33	0.25	1	0	1	0	0	0	0	0	0	0
ASV_1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	1	1	0	0	0	0	0	0	0	0.33	0.5	0.67	0.29	0.67	0.2	0.29	0	0	0.29	0.29	0.5	0.67	0.4	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	1	0.86	0.78	1	0.5	0.5	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.8	0.15	0.23	0.57	0.42	0.06	0.43	0.17	0.29	0.23	0.12	0.38	0.14	0.17	0	0.33	0	0	0	0.5	0.5	0.5	0.5	0.2	0.17	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0.5	0	0.43	0.67	0.33	0.5	0	0.14	0.2	0	0.17	0	0	1	0.33	0.67	0	0	0	0	1	0.5	0.4	0	0	0	0	0	1	0	0.62	1	0.17	0	0	0	0.5	0	0	0.67	1	0.33	0.5	0.2	0.33	0.5	0.25	0.33	0.33	0	0	0	0.5	0	1	1	0.5	1	1	1	0	1	0.5	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0.9	0.17	0	0.89	0	1	0	0	0	0	0	0	0
ASV_1023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0.11	0.5	0.33	0	0.33	0	0.14	0	0	0.14	0.14	0.5	0.33	0.2	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.57	0.56	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.81	0.85	0.57	0.42	0.12	0.43	0.83	0.5	0.54	0.75	0.38	0.29	0.17	0	0.67	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.14	0.67	0.17	0.5	0	0	0	0	0	0	0	1	0.33	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	1	0	0	0	0	0	0.33	0	0	0	0	0	0	0	1	0.33	0.5	0	0	0	0.5	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89	0.67	0.8	0.25	0.5	0	0	0	0	0	0	0	0	0	0
ASV_1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0.22	0.5	1	0.14	1	0.2	0.29	0	0.29	0.29	0.29	0.75	0.33	0.4	0.5	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.86	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0	0.81	0.69	0.43	0.42	0.19	0.86	0.17	0.43	0.38	0.12	0	0.29	0.5	0	0.33	0	0.5	0.75	0	0	0.5	0.5	0	0	0	0.75	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.67	0.17	0.5	0	0.14	0	0	0.17	0	0	0.5	0.33	0	0	0	0	0	1	0.5	0.2	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0.33	0.5	0	0	0	0	0	0.33	0	0	0	0.5	0	0	1	0.5	1	1	0	0	0.5	0.5	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	1	0.17	0.25	0	0	0	0	0	0	0	0	0	0
ASV_1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0.8	0	0	0	0	0	0	0	0	0.56	1	1	0.29	1	0.4	0.43	0.33	0.57	0.43	0.43	0.75	0.67	0.4	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.86	0.78	1	0.5	0.5	0	0.33	0.33	0	0	0	0.14	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33	0	0.27	0.2	0.81	0.85	0.57	0.67	0.69	0.86	0.83	0.5	1	0.75	0.62	0.86	0.5	0.25	0.67	0	0	0.25	1	0.5	0.5	0.5	0	0	0	0.5	0.25	1	0	0	0	0.5	0.67	0	0	0	0	0	0	0	0	1	1	0	0	0	0.29	0.67	0.17	0.5	0	0	0	0	0	0	0	0.5	1	0.33	0	0	0	0	1	1	0.4	0	0	0	0	0	0.5	0	0	0.5	0.67	0	0	0	0.5	0	0	0	0	0.67	1	0.2	0	0.25	0.25	0.33	0.33	0	0	1	0	0	0	0	1	0.33	1	0.5	0.5	1	0.5	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0.9	0.33	0	0	0	0.4	0	0	0	0	0	0	0
ASV_1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	0.5	0	0	0	0	0	0	0	0.22	0	0	0.29	0.33	0.4	0.29	0.17	0.14	0.29	0.29	0	0.33	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	1	0.71	0.78	1	0.5	0.5	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0.8	0.81	0.85	0.71	0.42	0.06	0.43	0.17	0.71	0.77	0.38	0.38	0.57	0.17	0	0	0	0	0	0.5	0.5	1	0.5	0.2	0.17	0.2	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.5	0	0.14	0.33	0.33	0.5	0	0	0	0	0	0	0	1	1	0.33	0	0	0	0	1	0.5	0.2	0	0	0	0	0	0	0	0	0	0.17	0	0.25	0	0	0	0	0	0	0.33	0.5	0	0	0	0.25	0	0.33	0	0	0	0.5	0	1	0	0	0.67	1	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0.9	0.17	0	0.89	0	0.8	0	0	0	0	0	0	0
ASV_1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0.8	0	0	0	0	0	0	0	0	0.44	0.5	1	0.29	0.67	0.2	0.29	0.17	0.57	0.29	0.29	0.75	0.67	0.4	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.86	0.78	1	0	0	0	0.33	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0.81	0.69	0.43	0.25	0.06	0.86	0.17	0.43	0.38	0.12	0.38	0.29	0.5	0.25	0.33	0	0.5	0.5	0	0	0.5	1	0	0	0	0.75	0.25	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.29	0.67	0.17	1	0	0	0	0	0	0	0	1	0.33	0	0	0	0	0	1	0.5	0.4	0	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0.33	0.5	0.2	0.33	0.25	0	0	0.33	0	0	0.5	0.5	0	1	1	0.5	1	1	1	0	1	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89	0.67	0.9	0.17	0	0.89	0	1	0	0	0	0	0	0	0
ASV_103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0.8	0	0	0	0	0	0	0	0	0.78	0.5	1	0.71	1	0.6	0.43	0.67	0.57	0.43	0.43	0.75	0.67	0.4	0.5	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.86	0.78	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.4	0	0.15	0.29	0	0	0.14	0	0	0.08	0	0	0.29	0.17	0	0	0	0	0.25	0.5	0.5	0.5	0.5	0	0.17	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.29	0.67	0.33	0.5	0	0.29	0	0	0.33	0	0	1	0.33	0.33	0	0	0	0	1	0.5	0.4	0	0	0	0	0	0	0	0.25	0	0.5	0	0	0.5	0	0	0	0	0	0	0	0.2	0	0.25	0.5	0.33	0.33	0	0	0	0.5	1	0	0	1	0.67	1	0.5	1	0.5	1	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	1	0.67	0.75	0	0	0.2	0	0	0	0	0	0	0
ASV_1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8	1	0	0	0	0	0	0	0	0.44	0.5	0.67	0.29	0.67	0.2	0.14	0.17	0.14	0.14	0.14	0.5	0.67	0.6	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.86	0.78	1	0	0	1	0	0	0	0	0	0	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	0.6	0.07	0.08	0	0.5	0.12	0	0	0.14	0.15	0.12	0	0.14	0	0	0	0	0	0	0.5	0.5	0	0	0	0.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.5	0	0.29	0.67	0.33	0.5	0	0.14	0.2	0	0.17	0	0	0	0	0	0	0	0	0	1	0.5	0.2	0	0	0	0	0	0	0	0	1	0.17	0	0	0	0	1	1	0.67	1	0	0	0.2	0.67	0.5	0	0	0.33	0	0	0	0.5	0	1	0	0.5	0.67	0	0	0	0	0.5	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.75	0.9	0.17	0	0.89	0	0	0	0	0	0	0	0	0
